,LeadTime,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,Temp,Cloudcover,BookingDateWeekNumber,BookingDateDayOfWeek,TotalNights,CancelationRatio,DepositType_Non Refund,CustomerType_Transient,Agent_9,Agent_Other
25992,155,130.0,0,0,62.7,27.5,45,3,4,0.0,1.0,1.0,0,1
5833,92,72.25,0,1,59.7,21.0,35,3,3,0.0,0.0,0.0,1,0
51812,192,95.0,0,0,68.7,40.4,51,2,2,0.0,0.0,0.0,0,1
19457,189,96.3,0,3,74.5,76.8,16,5,3,0.0,0.0,1.0,1,0
49154,121,114.3,0,0,63.4,40.2,2,6,3,0.0,0.0,0.0,1,0
40910,3,0.0,0,2,54.4,16.6,48,5,1,0.0,0.0,1.0,0,1
64607,4,94.0,0,1,67.6,34.6,21,5,1,0.0,0.0,0.0,0,1
19530,184,90.9,0,1,71.9,88.1,17,4,3,0.0,0.0,1.0,1,0
1868,18,93.0,1,0,71.5,40.9,32,6,3,0.0,0.0,1.0,0,1
73921,117,126.0,0,0,75.0,38.0,7,3,3,0.0,0.0,1.0,1,0
60783,0,0.0,0,1,64.5,52.7,44,4,0,0.0,0.0,1.0,0,0
61491,71,105.0,1,1,57.2,57.9,35,4,3,0.0,0.0,1.0,1,0
16936,302,100.0,0,0,68.2,30.6,47,4,3,0.0,1.0,1.0,0,1
12140,30,140.0,0,0,72.2,75.1,18,2,2,0.0,1.0,1.0,0,1
873,3,0.0,0,2,80.3,10.7,32,4,3,0.0,0.0,1.0,0,1
55751,36,149.4,0,2,72.3,71.7,28,4,5,0.0,0.0,1.0,1,0
63816,32,63.33,0,0,50.9,39.1,47,5,6,0.0,0.0,0.0,0,1
65369,0,0.0,0,0,56.2,52.2,6,2,1,0.0,0.0,1.0,0,0
55123,177,130.05,0,2,82.2,0.8,7,2,5,0.0,0.0,1.0,1,0
32568,138,175.5,0,0,69.8,35.4,11,4,4,0.0,0.0,1.0,1,0
57181,228,90.1,0,1,71.9,44.2,4,2,4,0.0,0.0,1.0,1,0
3369,74,101.5,0,0,66.3,22.6,28,1,2,0.0,1.0,0.0,0,1
68543,0,83.0,0,0,60.0,59.0,13,3,1,0.0,0.0,1.0,0,0
5960,135,62.0,0,0,58.0,20.8,30,4,3,0.0,0.0,0.0,0,0
3952,68,65.0,0,0,69.8,33.2,30,4,2,0.0,0.0,0.0,0,1
43757,24,46.67,0,1,58.4,85.4,3,1,3,0.0,0.0,1.0,0,1
55859,154,95.4,0,0,77.1,17.8,12,3,2,0.0,0.0,1.0,1,0
30831,129,130.0,0,0,71.4,57.1,7,3,3,0.0,1.0,1.0,0,1
47085,41,105.3,0,0,55.2,45.9,9,3,3,0.0,0.0,1.0,1,0
32040,200,125.1,0,2,67.5,29.4,1,1,1,0.0,0.0,1.0,1,0
22022,46,65.0,0,0,48.2,55.4,46,3,2,0.0,0.0,0.0,0,0
51646,265,109.0,0,1,68.7,40.4,40,6,2,0.0,0.0,0.0,0,1
9580,108,75.76,0,0,59.7,74.1,53,3,4,0.0,0.0,1.0,1,0
9587,82,109.37,0,0,59.7,74.1,4,1,6,0.0,0.0,1.0,1,0
75591,200,89.1,0,1,73.6,18.5,50,5,5,0.0,0.0,0.0,0,1
26402,44,85.0,0,0,68.3,49.4,10,2,4,0.0,0.0,0.0,0,1
38856,34,90.9,0,2,68.0,57.9,38,3,2,1.0,0.0,0.0,1,0
41771,178,110.0,0,0,59.9,60.8,45,1,3,1.0,1.0,1.0,0,1
10099,57,228.6,0,0,61.4,25.0,8,6,3,0.0,0.0,1.0,1,0
12663,134,119.85,0,1,71.7,49.9,4,3,7,0.0,0.0,1.0,1,0
32314,153,166.5,0,0,73.2,19.9,8,5,3,0.0,0.0,1.0,1,0
67080,29,115.55,0,3,52.0,56.7,5,5,4,0.0,0.0,1.0,1,0
61006,8,130.0,0,0,60.5,54.7,43,5,1,0.0,0.0,0.0,0,1
14988,199,80.75,0,0,72.1,22.7,2,0,7,0.0,0.0,1.0,1,0
23053,56,60.0,0,0,55.0,54.9,49,3,3,0.0,1.0,1.0,0,1
63230,38,0.0,0,0,51.0,55.6,45,2,2,0.0,0.0,1.0,0,1
53687,278,139.9,2,2,79.9,0.4,43,1,3,0.0,0.0,0.0,1,0
55210,85,126.9,0,1,83.5,0.0,20,5,4,0.0,0.0,1.0,1,0
69679,7,144.0,0,2,63.3,42.7,14,5,2,0.0,0.0,0.0,1,0
29447,174,100.0,0,0,68.0,21.7,49,5,2,0.0,1.0,1.0,0,1
65140,29,145.0,0,1,53.5,65.8,1,1,2,0.0,0.0,1.0,0,1
55133,193,108.45,1,1,83.3,0.0,5,1,4,0.0,0.0,1.0,1,0
62614,29,85.0,0,0,54.7,84.9,44,4,2,0.0,0.0,0.0,0,0
27637,162,80.0,0,0,63.7,31.5,47,5,3,0.0,1.0,1.0,0,1
70182,94,136.8,0,0,68.0,41.9,2,0,5,0.0,0.0,1.0,1,0
18305,128,135.0,0,0,63.3,63.3,22,0,5,0.0,0.0,1.0,1,0
56232,29,150.17,0,3,73.3,19.8,30,6,3,0.0,0.0,1.0,1,0
2606,5,115.0,0,1,69.3,58.3,36,5,1,0.0,0.0,0.0,1,0
12936,188,130.0,0,0,64.5,49.3,50,4,2,0.0,1.0,1.0,0,1
69995,124,175.5,0,1,69.9,49.6,50,4,3,0.0,0.0,1.0,1,0
2849,17,126.0,0,0,67.7,41.8,35,2,2,0.0,0.0,0.0,0,1
16448,426,62.0,0,0,69.8,33.2,28,5,2,0.0,1.0,1.0,0,0
16414,57,158.85,0,0,73.4,56.1,28,2,4,0.0,0.0,1.0,1,0
9418,281,62.0,0,0,58.8,84.2,28,3,2,0.0,1.0,1.0,0,0
19620,200,213.6,0,0,66.1,52.3,15,4,3,0.0,0.0,1.0,1,0
39814,0,0.0,0,1,65.0,87.4,45,4,1,0.0,0.0,1.0,0,1
31234,462,80.0,0,0,67.3,2.1,12,6,3,0.0,0.0,0.0,0,1
5418,99,65.0,0,0,63.8,66.7,30,4,4,0.0,1.0,1.0,0,1
77590,259,89.1,0,1,77.1,34.2,46,5,3,0.0,0.0,1.0,1,0
78965,14,109.0,0,1,70.3,32.1,32,0,1,0.0,0.0,1.0,1,0
39105,0,114.0,0,0,68.0,57.9,43,2,3,0.0,0.0,1.0,0,1
63465,14,135.0,1,2,53.5,5.3,49,0,2,0.0,0.0,1.0,1,0
63962,5,116.0,0,1,52.6,0.3,51,0,5,0.0,0.0,1.0,1,0
55005,86,107.1,0,1,83.3,0.0,20,3,2,0.0,0.0,1.0,1,0
58046,141,123.8,0,1,69.5,17.8,18,4,2,0.0,0.0,1.0,1,0
15507,126,195.75,0,0,71.3,14.7,15,2,4,0.0,0.0,1.0,1,0
30955,26,126.33,0,1,69.8,44.6,22,4,3,0.0,0.0,1.0,1,0
38560,0,9.0,0,0,65.5,87.0,41,0,2,0.0,0.0,1.0,0,1
18199,96,143.79,0,1,64.6,31.3,27,2,6,0.0,0.0,1.0,0,1
64636,1,88.2,0,1,42.0,4.9,3,3,2,0.0,0.0,1.0,0,0
56265,10,140.8,1,1,75.8,21.2,33,3,5,0.0,0.0,1.0,1,0
72663,157,126.0,0,1,66.0,50.0,51,2,2,0.0,0.0,1.0,1,0
8463,35,140.4,0,0,56.2,36.3,7,5,2,0.0,0.0,1.0,1,0
6432,145,65.0,0,0,59.2,81.4,33,2,3,0.0,1.0,1.0,0,1
53282,187,105.3,0,0,75.9,10.1,2,4,2,0.0,0.0,1.0,1,0
44879,0,109.0,0,0,52.2,45.0,9,6,1,0.0,0.0,1.0,1,0
16527,178,135.0,0,0,70.1,33.8,11,2,2,0.0,1.0,1.0,0,1
5557,79,75.0,0,0,61.9,44.5,35,3,2,0.0,1.0,1.0,0,1
51340,3,0.0,1,3,76.0,0.0,24,5,1,0.0,0.0,1.0,0,0
59376,180,120.0,0,0,63.3,35.4,15,3,3,0.0,0.0,0.0,0,1
64495,151,67.15,0,0,49.8,5.0,33,4,1,0.0,0.0,1.0,0,1
21158,60,85.75,0,1,58.3,70.3,40,3,7,0.0,0.0,1.0,0,0
71842,266,18.0,0,1,69.7,46.8,34,3,2,0.0,0.0,1.0,1,0
18128,96,118.8,0,1,65.1,50.9,26,0,3,0.0,0.0,1.0,1,0
46380,9,127.67,0,0,57.7,66.2,11,6,6,0.0,0.0,1.0,1,0
56415,30,109.8,0,2,70.6,36.3,30,0,4,0.0,0.0,1.0,1,0
64395,8,87.69,0,2,58.1,22.9,1,2,3,0.0,0.0,1.0,1,0
10161,59,177.93,0,0,60.7,43.7,8,6,6,0.0,0.0,1.0,1,0
13756,134,90.9,0,0,68.2,29.4,7,3,3,0.0,0.0,1.0,1,0
62830,3,79.0,0,0,59.9,47.9,48,5,3,0.0,0.0,1.0,0,0
20413,54,79.2,0,0,57.2,57.9,37,0,3,0.0,0.0,1.0,1,0
37499,0,152.0,0,0,65.0,25.7,39,2,1,0.0,0.0,1.0,0,0
24610,37,110.0,0,0,62.7,79.0,6,1,2,0.0,1.0,1.0,0,1
19037,279,65.0,0,0,63.4,81.5,2,6,2,0.0,1.0,1.0,0,0
6047,110,139.5,0,1,57.8,92.0,34,5,4,0.0,0.0,0.0,0,1
30844,129,130.0,0,0,71.4,57.1,7,3,3,0.0,1.0,1.0,0,1
8104,28,79.0,0,0,55.6,63.8,7,5,1,0.0,0.0,1.0,1,0
47198,63,167.45,0,1,57.6,44.8,6,3,4,0.0,0.0,1.0,1,0
23000,41,79.5,0,1,52.6,45.9,50,0,2,0.0,0.0,1.0,1,0
58733,36,148.5,1,2,64.8,56.7,34,0,2,0.0,0.0,1.0,1,0
37048,219,76.67,0,0,65.4,38.6,5,3,3,0.0,0.0,0.0,0,1
22059,78,74.8,0,0,54.7,65.5,41,0,4,0.0,0.0,1.0,1,0
15032,6,166.0,0,0,72.5,52.9,30,5,3,0.0,0.0,1.0,1,0
16935,302,100.0,0,0,68.2,30.6,47,4,3,0.0,1.0,1.0,0,1
1387,0,124.0,0,0,70.3,69.6,33,0,3,0.0,0.0,1.0,0,0
26178,87,95.0,0,0,63.5,44.4,3,3,4,0.0,1.0,1.0,0,0
25554,62,135.0,0,0,65.6,0.0,5,5,3,0.0,1.0,1.0,0,0
60052,94,132.3,0,2,68.3,70.1,28,0,4,0.0,0.0,1.0,1,0
21448,79,109.8,0,2,53.6,57.1,39,2,3,0.0,0.0,1.0,1,0
10012,142,89.0,0,0,59.8,49.7,49,3,5,0.0,1.0,1.0,0,1
30238,201,110.0,0,0,73.2,21.4,47,5,4,0.0,1.0,1.0,0,0
77888,41,160.0,0,1,68.7,37.2,26,2,5,0.0,0.0,1.0,1,0
5679,98,84.0,0,0,53.1,11.8,34,1,3,0.0,0.0,0.0,0,1
10408,3,110.0,0,0,64.5,0.0,17,4,10,0.0,0.0,1.0,0,0
24442,127,80.0,0,0,59.9,40.4,44,5,2,0.0,1.0,1.0,0,1
22931,61,80.0,0,0,46.3,53.9,47,5,2,0.0,1.0,1.0,0,1
14324,372,62.0,0,0,79.4,0.0,28,3,2,0.0,1.0,1.0,0,0
20210,277,100.0,0,0,54.1,31.6,5,4,3,0.0,1.0,1.0,0,0
69898,2,79.7,0,0,66.4,23.0,15,6,3,0.0,0.0,1.0,0,1
17118,174,159.3,0,1,67.4,22.4,13,3,6,0.0,0.0,1.0,1,0
31833,315,99.9,0,0,74.6,7.7,35,6,2,0.0,0.0,1.0,1,0
74708,130,130.5,0,4,71.4,57.1,7,2,3,0.0,0.0,1.0,0,0
14044,55,79.0,0,0,75.0,30.9,19,5,1,0.0,0.0,0.0,0,0
46897,8,181.0,0,1,54.2,55.5,13,0,1,0.0,0.0,1.0,1,0
15379,82,107.1,0,1,83.5,0.0,21,1,2,0.0,0.0,1.0,1,0
71026,9,150.0,0,1,57.9,23.7,16,6,5,0.0,0.0,1.0,1,0
52002,124,96.3,0,2,79.1,3.3,8,3,3,0.0,0.0,1.0,1,0
67416,25,68.0,0,0,59.9,40.4,7,2,2,0.0,0.0,0.0,0,1
48366,88,117.0,0,1,73.3,4.1,5,5,3,0.0,0.0,0.0,0,1
37227,9,171.33,0,1,67.8,20.5,38,2,3,1.0,0.0,1.0,0,1
55498,5,130.0,0,1,70.5,23.2,33,1,1,0.0,0.0,1.0,0,1
77739,153,130.5,0,0,66.5,21.0,10,4,1,0.0,0.0,1.0,1,0
71268,10,170.0,0,3,63.7,31.5,17,3,3,0.0,0.0,1.0,1,0
55756,5,119.35,0,1,75.3,0.0,33,2,3,0.0,0.0,1.0,0,1
77316,19,189.0,1,1,67.9,34.2,28,3,3,0.0,0.0,1.0,1,0
62387,5,77.0,0,0,56.2,39.7,47,3,1,0.0,0.0,0.0,0,0
71061,12,206.47,0,1,59.3,45.3,16,2,6,0.0,0.0,1.0,0,1
61792,2,104.0,0,0,59.5,67.8,46,3,1,0.0,0.0,1.0,0,0
7023,31,69.5,0,1,56.1,78.3,1,3,3,0.0,0.0,0.0,1,0
8449,85,157.25,0,0,56.8,18.3,53,3,5,0.0,0.0,0.0,1,0
9106,274,62.0,0,0,59.8,24.7,28,3,2,0.0,1.0,1.0,0,0
49705,33,108.9,0,0,63.4,41.3,16,5,1,0.0,0.0,1.0,1,0
41859,278,65.0,0,0,82.2,0.8,45,6,1,1.0,1.0,1.0,0,0
672,83,76.5,1,1,71.6,9.1,20,4,5,0.0,0.0,0.0,1,0
71828,8,204.0,0,0,62.7,40.5,18,5,4,0.0,0.0,1.0,0,1
17807,34,108.0,0,0,64.9,29.0,35,1,3,0.0,0.0,1.0,1,0
41838,178,120.0,0,0,59.9,60.8,45,1,3,1.0,1.0,1.0,0,1
73960,27,121.75,0,2,75.0,38.0,20,2,4,0.0,0.0,1.0,1,0
75631,95,108.0,0,1,69.5,46.0,14,1,3,0.0,0.0,1.0,0,1
56166,61,82.45,0,0,73.3,19.8,26,2,2,0.0,0.0,1.0,0,1
68259,116,100.0,0,1,48.2,48.4,48,1,2,0.0,0.0,0.0,0,1
15220,213,80.75,0,1,82.2,12.5,1,6,10,0.0,0.0,1.0,0,1
68865,67,146.2,0,2,59.7,36.4,4,1,4,0.0,0.0,1.0,1,0
27560,85,162.0,0,0,60.7,45.4,6,4,3,0.0,0.0,1.0,1,0
25153,66,96.84,0,0,56.4,53.8,3,6,5,0.0,0.0,1.0,1,0
10649,136,105.3,0,1,57.8,79.6,52,2,2,0.0,0.0,1.0,1,0
70261,85,108.0,0,0,67.5,43.9,4,6,3,0.0,0.0,1.0,0,1
72288,100,80.0,0,0,61.5,35.2,6,2,5,0.0,0.0,0.0,0,1
31200,157,119.4,0,0,65.1,32.6,4,2,3,0.0,0.0,1.0,1,0
17499,203,116.1,0,0,74.2,15.8,10,2,3,0.0,0.0,1.0,1,0
27713,140,108.0,0,2,67.6,37.0,50,0,1,0.0,0.0,1.0,1,0
25555,62,135.0,0,0,65.6,0.0,5,5,3,0.0,1.0,1.0,0,0
69174,143,166.5,0,1,65.6,0.0,46,1,3,0.0,0.0,0.0,1,0
40265,33,110.0,0,0,57.8,92.0,45,5,2,1.0,1.0,1.0,0,1
38100,10,186.67,0,2,69.0,53.1,39,2,3,0.0,0.0,0.0,1,0
38852,16,65.0,0,0,66.1,29.1,40,2,4,0.0,0.0,0.0,0,0
29176,79,140.0,0,0,66.4,54.5,10,5,3,0.0,0.0,1.0,1,0
14806,386,62.0,0,0,76.8,3.2,28,3,2,0.0,1.0,1.0,0,0
61968,17,107.5,0,0,59.5,67.8,44,2,4,0.0,0.0,1.0,1,0
41740,117,75.0,0,0,52.6,15.4,45,3,3,1.0,1.0,1.0,0,1
498,80,63.46,0,0,71.5,65.2,20,2,9,0.0,0.0,0.0,0,1
2485,0,133.0,0,0,73.5,14.5,37,1,1,0.0,0.0,1.0,1,0
18451,461,62.0,0,0,61.4,42.2,28,5,2,0.0,1.0,1.0,0,0
9476,126,65.0,0,0,58.8,84.2,50,4,3,0.0,1.0,1.0,0,0
7241,6,91.0,0,1,48.7,4.8,6,3,1,0.0,0.0,1.0,1,0
22405,38,75.0,0,0,49.8,7.3,49,3,1,0.0,1.0,1.0,0,0
8684,85,82.45,0,1,59.1,61.1,1,1,4,0.0,0.0,0.0,1,0
66700,3,74.8,0,1,55.3,63.2,8,5,4,0.0,0.0,1.0,1,0
7104,57,80.3,0,0,58.4,85.4,51,3,3,0.0,0.0,1.0,1,0
70167,8,102.0,0,0,67.5,43.9,15,6,1,0.0,0.0,1.0,0,0
14987,170,114.75,0,2,72.1,22.7,7,1,7,0.0,0.0,1.0,1,0
33494,65,164.0,0,0,74.1,56.4,25,4,2,0.0,0.0,1.0,0,1
55784,7,137.0,1,2,77.1,17.8,33,3,1,0.0,0.0,1.0,1,0
14261,142,130.05,0,0,68.2,15.9,7,0,5,0.0,0.0,1.0,1,0
27894,6,90.0,0,0,62.3,50.5,18,4,1,0.0,1.0,1.0,0,1
74527,226,99.0,0,1,72.0,31.5,45,2,3,0.0,0.0,1.0,1,0
61689,49,74.8,0,2,62.4,22.4,38,0,5,0.0,0.0,1.0,1,0
41502,223,135.0,0,0,68.0,45.1,45,3,2,1.0,1.0,1.0,0,1
22872,61,80.0,0,0,46.3,53.9,47,5,2,0.0,1.0,1.0,0,1
4648,204,72.75,0,0,61.9,47.5,12,4,4,0.0,0.0,0.0,0,1
17650,315,160.0,0,0,71.9,33.7,47,5,3,0.0,1.0,1.0,0,1
73015,2,110.0,0,0,68.0,21.7,22,2,1,0.0,0.0,1.0,0,1
11488,49,172.8,0,0,64.2,43.8,13,6,1,0.0,0.0,1.0,0,1
41824,178,120.0,0,0,59.9,60.8,45,1,3,1.0,1.0,1.0,0,1
29793,1,144.0,0,0,72.9,43.4,23,3,1,0.0,0.0,1.0,0,0
24030,10,108.0,0,0,55.4,58.1,8,1,1,0.0,0.0,1.0,1,0
62988,23,108.67,0,1,55.0,72.6,46,2,3,0.0,0.0,1.0,1,0
79207,213,104.0,0,0,67.6,46.6,4,5,4,0.0,0.0,0.0,0,1
24844,175,74.8,0,2,56.4,66.7,39,1,4,0.0,0.0,1.0,1,0
19683,166,110.0,0,0,66.6,58.9,20,4,3,0.0,1.0,1.0,0,1
68255,116,100.0,0,1,48.2,48.4,48,1,2,0.0,0.0,0.0,0,1
46755,10,0.0,0,2,59.8,24.7,13,1,2,0.0,0.0,1.0,0,0
54068,198,96.0,0,1,69.4,61.2,2,4,2,0.0,0.0,0.0,0,0
69547,62,144.0,0,2,67.4,7.7,6,4,2,0.0,0.0,1.0,1,0
929,0,115.0,1,0,79.3,14.6,33,1,3,0.0,0.0,1.0,1,0
37061,219,76.67,0,0,65.4,38.6,5,3,3,0.0,0.0,0.0,0,1
41110,6,55.0,0,0,57.0,51.6,48,5,2,0.0,0.0,0.0,0,1
13142,74,116.1,0,0,65.1,36.0,14,1,2,0.0,0.0,1.0,1,0
22195,52,93.6,0,1,51.0,60.6,46,2,3,0.0,0.0,1.0,1,0
66141,0,193.0,1,2,58.1,1.7,8,1,3,0.0,0.0,1.0,0,1
2939,68,62.0,0,0,68.0,54.7,28,1,4,0.0,0.0,0.0,0,0
69967,95,164.1,0,0,69.9,49.6,2,5,3,0.0,0.0,1.0,0,1
56550,53,113.05,0,0,71.6,13.3,27,4,7,0.0,0.0,1.0,0,1
64150,8,115.6,0,2,57.3,76.0,52,2,4,0.0,0.0,1.0,1,0
54136,301,115.0,0,1,69.4,61.2,40,6,2,0.0,0.0,0.0,0,1
67320,70,70.69,0,1,62.1,18.8,52,3,4,0.0,0.0,1.0,0,1
19689,166,110.0,0,0,66.6,58.9,20,4,3,0.0,1.0,1.0,0,1
8381,40,145.35,0,1,54.3,39.0,6,5,4,0.0,0.0,1.0,1,0
39891,2,63.75,0,0,63.7,68.1,45,1,4,0.0,0.0,1.0,0,1
25729,139,117.0,0,0,66.9,3.8,46,0,4,0.0,0.0,1.0,1,0
14651,91,114.3,0,0,85.5,2.7,16,0,3,0.0,0.0,1.0,1,0
53332,12,134.33,0,0,75.3,4.1,27,3,3,0.0,0.0,1.0,1,0
77370,2,166.0,0,1,76.2,29.0,31,2,1,0.0,0.0,0.0,0,1
5309,61,89.25,0,2,62.4,50.9,35,5,2,0.0,0.0,0.0,1,0
41306,190,70.0,0,0,55.0,63.6,40,5,2,1.0,0.0,0.0,0,0
42720,68,75.0,0,0,48.0,52.7,50,5,2,1.0,1.0,1.0,0,1
15589,405,62.0,0,0,71.7,11.1,28,5,2,0.0,1.0,1.0,0,0
77802,44,140.0,0,1,66.5,21.0,26,1,2,0.0,0.0,1.0,1,0
60513,199,95.0,0,0,74.5,76.8,15,2,2,0.0,0.0,0.0,0,1
18565,37,105.0,0,0,61.4,42.2,36,2,3,0.0,0.0,0.0,0,1
65473,36,119.0,0,1,48.5,60.7,1,3,2,0.0,0.0,1.0,0,1
25091,166,88.4,0,1,51.6,53.2,41,1,4,0.0,0.0,1.0,1,0
9878,288,62.0,0,0,59.3,44.0,28,3,2,0.0,1.0,1.0,0,0
723,36,62.0,0,0,70.2,38.3,27,4,2,0.0,0.0,0.0,0,0
49393,31,78.0,0,3,64.2,43.8,16,3,1,0.0,0.0,1.0,0,1
24307,356,77.35,0,0,61.3,38.3,11,3,4,0.0,0.0,1.0,1,0
39090,19,174.25,0,0,66.0,13.3,40,5,1,0.0,0.0,1.0,0,1
63917,294,82.11,0,1,53.3,2.2,10,4,5,0.0,0.0,1.0,1,0
54850,152,114.3,0,1,77.3,9.1,10,5,2,0.0,0.0,1.0,1,0
13449,82,85.5,0,0,69.8,38.2,13,6,1,0.0,0.0,1.0,1,0
49741,68,96.99,0,1,64.2,43.8,11,1,5,0.0,0.0,1.0,0,1
17608,263,100.3,0,0,74.4,11.1,1,0,6,0.0,0.0,1.0,1,0
50637,125,116.1,0,0,71.7,49.9,5,5,1,0.0,0.0,1.0,1,0
77615,206,256.5,0,2,71.0,22.0,1,0,6,0.0,0.0,1.0,1,0
30991,141,130.0,0,0,69.8,44.6,6,1,7,0.0,1.0,1.0,0,0
29108,168,140.0,0,0,66.0,50.0,49,5,3,0.0,1.0,1.0,0,0
78437,12,180.0,0,4,76.0,22.3,32,1,2,0.0,0.0,1.0,1,0
2139,63,0.0,0,0,67.4,44.1,27,3,3,0.0,0.0,0.0,0,0
14159,53,148.5,0,0,78.4,10.8,20,2,2,0.0,0.0,1.0,1,0
6071,100,72.25,0,2,57.3,55.5,36,4,3,0.0,0.0,0.0,1,0
29503,189,100.0,0,0,67.6,26.9,47,5,2,0.0,1.0,1.0,0,0
70059,44,133.33,0,1,68.3,49.4,10,2,3,0.0,0.0,0.0,0,0
18817,0,179.0,0,0,64.7,76.0,42,1,2,0.0,0.0,1.0,0,0
36682,0,81.0,0,0,74.7,17.8,32,4,1,0.0,0.0,1.0,1,0
21637,62,111.88,0,1,53.4,33.7,42,6,3,0.0,0.0,1.0,0,1
7737,29,81.55,0,2,53.8,67.5,5,4,2,0.0,0.0,1.0,1,0
18043,454,62.0,0,0,67.0,43.3,28,5,2,0.0,1.0,1.0,0,0
73057,409,91.33,0,1,67.9,26.7,15,0,3,0.0,0.0,0.0,0,1
11842,316,110.0,0,0,63.5,36.9,29,3,3,0.0,0.0,0.0,0,1
54105,301,90.0,0,0,69.4,61.2,40,6,2,0.0,0.0,0.0,0,1
13515,3,95.0,0,0,68.7,40.4,25,2,2,0.0,0.0,0.0,0,1
42952,41,86.07,0,1,59.1,89.5,48,5,6,0.0,0.0,1.0,0,1
36149,151,86.0,0,0,70.2,19.2,9,2,3,1.0,1.0,0.0,0,0
26989,233,149.4,0,0,59.5,65.1,36,2,5,0.0,0.0,1.0,1,0
55469,320,115.0,0,1,71.7,11.1,40,6,2,0.0,0.0,0.0,0,1
65040,0,79.2,0,0,52.6,45.9,4,6,1,0.0,0.0,1.0,1,0
46084,185,60.0,0,0,56.2,36.3,39,2,3,0.0,0.0,1.0,0,1
69598,6,189.0,1,0,62.7,27.5,14,5,2,0.0,0.0,1.0,0,1
28199,104,160.0,0,0,70.3,57.5,5,2,3,0.0,1.0,1.0,0,0
73757,34,108.0,0,0,72.9,43.4,18,5,4,0.0,0.0,1.0,0,1
47624,112,98.69,0,1,57.8,79.6,2,5,2,0.0,0.0,1.0,0,0
66447,134,75.0,0,0,54.8,52.3,41,5,1,0.0,0.0,0.0,0,1
13910,70,150.3,0,0,79.8,4.0,16,0,6,0.0,0.0,1.0,1,0
71371,11,110.0,0,1,64.2,45.1,17,5,2,0.0,0.0,1.0,0,0
16119,175,112.63,0,0,71.1,46.8,10,3,4,0.0,0.0,1.0,1,0
21950,18,200.0,0,0,52.6,0.3,50,1,2,0.0,0.0,1.0,0,0
73510,99,275.0,0,1,66.4,32.2,8,0,4,0.0,0.0,1.0,0,1
3534,24,85.0,0,0,73.8,4.6,35,4,6,0.0,0.0,1.0,0,1
76495,148,118.1,1,2,70.5,62.7,8,2,3,0.0,0.0,1.0,0,1
9084,17,133.5,0,0,58.7,30.9,11,0,4,0.0,0.0,1.0,1,0
77878,139,125.0,0,2,72.3,43.3,11,0,7,0.0,0.0,0.0,1,0
55687,167,72.25,0,0,71.7,11.1,9,5,6,0.0,0.0,1.0,0,1
65813,5,93.0,0,0,54.1,39.9,6,3,4,0.0,0.0,1.0,0,0
14730,122,121.5,0,0,73.3,38.2,12,0,1,0.0,0.0,1.0,1,0
15162,162,103.5,0,0,84.3,0.0,8,0,3,0.0,0.0,1.0,1,0
21947,18,158.0,0,2,52.6,0.3,50,1,2,0.0,0.0,1.0,1,0
70581,172,95.46,0,1,59.5,65.1,44,0,3,0.0,0.0,1.0,0,1
14277,76,79.56,0,0,70.7,5.4,17,4,4,0.0,0.0,1.0,0,1
42201,44,98.0,0,1,55.8,40.9,47,4,3,0.0,0.0,0.0,0,0
64840,6,83.16,0,0,50.0,22.4,3,3,1,0.0,0.0,1.0,0,1
66006,4,68.0,0,0,56.6,55.5,7,1,3,0.0,0.0,0.0,0,1
78097,79,195.0,0,1,81.4,33.3,21,4,4,0.0,0.0,1.0,0,1
59032,127,91.48,0,1,66.8,36.7,22,5,1,0.0,0.0,1.0,0,1
73545,27,140.0,0,1,66.4,32.2,19,2,4,0.0,0.0,1.0,1,0
42943,39,114.8,0,0,56.1,57.1,49,2,3,0.0,0.0,0.0,0,1
47110,0,80.75,0,0,54.3,68.3,14,0,5,0.0,0.0,1.0,0,1
9464,101,130.0,0,0,58.8,84.2,1,1,3,0.0,1.0,1.0,0,0
22942,28,109.58,0,2,46.3,53.9,52,3,6,0.0,0.0,1.0,1,0
44101,33,80.82,0,1,51.1,43.1,2,3,5,0.0,0.0,1.0,1,0
57716,10,162.33,0,3,75.0,45.1,36,4,3,0.0,0.0,1.0,1,0
50240,52,140.4,0,0,67.0,20.3,14,6,5,0.0,0.0,1.0,1,0
75573,179,108.1,0,1,68.0,47.2,1,6,4,0.0,0.0,1.0,0,1
7297,44,75.0,0,0,48.0,52.7,1,1,3,0.0,1.0,1.0,0,1
26360,120,126.0,0,1,68.3,49.4,51,3,2,0.0,0.0,1.0,0,1
53045,141,103.5,1,1,79.4,0.0,8,3,3,0.0,0.0,1.0,1,0
57073,25,108.0,0,2,72.2,26.3,33,4,1,0.0,0.0,0.0,1,0
12596,337,62.0,0,0,71.7,49.9,28,3,2,0.0,1.0,1.0,0,0
5349,72,85.67,0,0,62.4,50.9,34,1,3,0.0,0.0,0.0,0,1
8920,41,107.1,0,1,55.8,72.6,8,2,2,0.0,0.0,1.0,1,0
4216,91,70.14,0,0,69.0,53.1,27,5,4,0.0,0.0,1.0,1,0
2221,11,124.0,0,2,65.4,38.6,35,1,2,0.0,0.0,0.0,1,0
27597,15,150.0,0,1,60.7,45.4,16,4,4,0.0,0.0,1.0,1,0
